victim_id,name,age,gender,address,district,socio_economic_status
VIC-2024-KA-0219,Oni Kaur,47,Other,"H.No. 674, Bora, Ambattur-034160",Belagavi,Middle Class
VIC-2024-KA-0220,Ria Aurora,51,Female,"H.No. 93, Bath Ganj, Shahjahanpur 404543",Mysuru,Lower Class
VIC-2024-KA-0221,Vrishti Kalla,36,Male,"H.No. 33, Hegde Road, Latur 058386",Belagavi,Middle Class
VIC-2024-KA-0222,Urmi Yogi,60,Female,"716, Prasad Zila, Ludhiana-128233",Hassan,Upper Middle Class
VIC-2024-KA-0223,Dipta Chand,8,Female,"84/83, Jhaveri Chowk, Chapra-720013",Bengaluru Urban,Lower Class
VIC-2024-KA-0224,Jacob Vig,81,Other,"07, Kari Circle, Kakinada-936885",Ballari,Middle Class
VIC-2024-KA-0225,Laksh Dey,61,Female,"H.No. 96, Sahni Ganj, Vijayawada 177658",Bengaluru Rural,Lower Class
VIC-2024-KA-0226,Janya Iyengar,57,Male,"H.No. 727, Palla Road, Karnal 689980",Chikkamagaluru,Middle Class
VIC-2024-KA-0227,Advika Khanna,35,Other,"30/55, Raman Circle, Motihari-245611",Ballari,Middle Class
VIC-2024-KA-0228,Chanchal Gade,69,Female,"007, Panchal Circle, Anantapur 601955",Ballari,Middle Class
VIC-2024-KA-0229,Anirudh Keer,20,Female,"322, Boase Chowk, Noida 327049",Shivamogga,Lower Class
VIC-2024-KA-0230,Sai Bansal,41,Male,"H.No. 831, Din Street, Jhansi-219418",Mysuru,Upper Middle Class
VIC-2024-KA-0231,Chaitaly Talwar,49,Female,"75, Basu Chowk, Anand-988728",Davangere,Middle Class
VIC-2024-KA-0232,Mohini Narain,53,Male,"H.No. 44, Pal Circle, Medininagar 641052",Davangere,Lower Class
VIC-2024-KA-0233,Mason Ram,32,Female,"H.No. 554, Bobal Road, Satara 783478",Ballari,Lower Class
VIC-2024-KA-0234,Abdul Mohanty,6,Female,"846, Murthy Street, Hajipur 711552",Bengaluru Urban,Upper Middle Class
VIC-2024-KA-0235,Zehaan Yogi,17,Other,"063, Sur Chowk, Vijayawada-359748",Tumakuru,Middle Class
VIC-2024-KA-0236,Theodore Hayre,47,Other,"H.No. 48, Kothari Street, Sambalpur-161956",Bengaluru Rural,Middle Class
VIC-2024-KA-0237,Sarthak Rana,74,Female,"00/38, Kaul Circle, Raiganj 292608",Shivamogga,Middle Class
VIC-2024-KA-0238,Nimrat Vaidya,11,Male,"87, Goyal Chowk, Belgaum-789962",Davangere,Middle Class
VIC-2024-KA-0239,Saumya Soni,15,Other,"03/139, Boase Street, South Dumdum 013113",Davangere,Upper Middle Class
VIC-2024-KA-0240,Hardik Pai,43,Other,"400, Peri, Uluberia 542014",Bengaluru Urban,Upper Middle Class
VIC-2024-KA-0241,Baghyawati Srinivasan,55,Male,"61/42, Krishnan Chowk, Ambarnath 860846",Belagavi,Lower Class
VIC-2024-KA-0242,Benjamin Tata,28,Male,"H.No. 89, Natt Road, Thrissur 030339",Tumakuru,Middle Class
VIC-2024-KA-0243,Jackson Chaudry,26,Female,"62, Borra Street, Bongaigaon 922794",Davangere,Lower Class
VIC-2024-KA-0244,Abhiram Gill,7,Male,"890, Minhas Zila, Proddatur-890654",Bengaluru Urban,Middle Class
VIC-2024-KA-0245,Darpan Comar,54,Other,"32/74, Narayan Chowk, Bhalswa Jahangir Pur 911365",Bengaluru Rural,Middle Class
VIC-2024-KA-0246,Aditya Raj,76,Male,"30/91, Nagarajan Nagar, Madhyamgram 572742",Mysuru,Lower Class
VIC-2024-KA-0247,Osha Choudhary,5,Female,"654, Kurian Street, Thrissur-512154",Bengaluru Rural,Middle Class
VIC-2024-KA-0248,Tripti Din,50,Male,"00, Bajaj Path, Vadodara-760774",Bengaluru Urban,Upper Middle Class
VIC-2024-KA-0249,Girish Saran,65,Male,"96/84, Anand, Gopalpur-892726",Hassan,Upper Middle Class
VIC-2024-KA-0250,Qushi Agrawal,65,Other,"87, Pau Marg, Dibrugarh-918207",Ballari,Upper Middle Class
VIC-2024-KA-0251,Rachana Nadig,32,Male,"H.No. 050, Korpal Circle, Guna-863776",Kalaburagi,Middle Class
VIC-2024-KA-0252,Lakshit Mital,78,Female,"526, Sani Nagar, Sirsa-543975",Belagavi,Middle Class
VIC-2024-KA-0253,Patrick Bhardwaj,57,Other,"68, Biswas Street, Belgaum 439936",Mysuru,Lower Class
VIC-2024-KA-0254,Jack Dutta,82,Other,"57/72, Salvi Path, Dewas-014522",Belagavi,Lower Class
VIC-2024-KA-0255,Yagnesh Divan,42,Male,"32/851, Kari Circle, Jamalpur-829590",Chikkamagaluru,Lower Class
VIC-2024-KA-0256,Abhimanyu Naidu,30,Female,"H.No. 257, Borra Nagar, Surendranagar Dudhrej-810667",Hubballi-Dharwad,Lower Class
VIC-2024-KA-0257,Hitesh Deshpande,12,Other,"H.No. 355, Grewal Nagar, Kozhikode 215756",Shivamogga,Lower Class
VIC-2024-KA-0258,Jai Kapoor,51,Other,"91/50, Roy Ganj, Jodhpur 402818",Hassan,Middle Class
VIC-2024-KA-0259,William Shetty,66,Other,"H.No. 33, Sarin Circle, Bhatpara-557777",Hassan,Middle Class
VIC-2024-KA-0260,Advay Brar,82,Other,"H.No. 788, Gokhale Path, Kurnool 641647",Tumakuru,Lower Class
VIC-2024-KA-0261,Vihaan Kothari,17,Male,"H.No. 69, Balay, Jorhat 018938",Vijayapura,Upper Middle Class
VIC-2024-KA-0262,Tanish Hayre,45,Female,"12, Sachdeva Path, Tezpur 870995",Hubballi-Dharwad,Upper Middle Class
VIC-2024-KA-0263,Damini Maharaj,14,Male,"252, Manne Zila, Shahjahanpur-355124",Chikkamagaluru,Upper Middle Class
VIC-2024-KA-0264,Shaurya Borah,13,Other,"12, Hegde Marg, Bhagalpur-372853",Belagavi,Upper Middle Class
VIC-2024-KA-0265,Yauvani Mitra,78,Female,"69/945, Ram Chowk, Kalyan-Dombivli 591188",Belagavi,Middle Class
VIC-2024-KA-0266,Wridesh Uppal,52,Female,"01/64, Narayanan Zila, Bardhaman 278460",Shivamogga,Lower Class
VIC-2024-KA-0267,Charvi Randhawa,33,Male,"34/346, Kamdar Circle, Muzaffarnagar 544222",Mangaluru,Upper Middle Class
VIC-2024-KA-0268,Inaya Kala,28,Male,"H.No. 00, Kade Zila, Sirsa-514810",Mysuru,Middle Class
VIC-2024-KA-0269,Chasmum Bajwa,59,Female,"03/36, Sama Street, Durg 330015",Bengaluru Rural,Lower Class
VIC-2024-KA-0270,Vihaan Chand,63,Male,"03/52, Bakshi Street, Shimla 776360",Kalaburagi,Middle Class
VIC-2024-KA-0271,Wishi Wali,34,Male,"74, Sachdev Ganj, Mango-678254",Bengaluru Rural,Upper Middle Class
VIC-2024-KA-0272,Ekalinga Sachdev,53,Male,"H.No. 86, Barman Road, Kolkata-612227",Ballari,Upper Middle Class
VIC-2024-KA-0273,Aayush Dewan,30,Other,"54/50, Kari Circle, Jalgaon-859894",Ballari,Lower Class
VIC-2024-KA-0274,Siya Pandya,52,Other,"72/96, Viswanathan Street, Narasaraopet-696055",Mangaluru,Upper Middle Class
VIC-2024-KA-0275,Suhani Uppal,33,Other,"04/073, Mital Circle, Narasaraopet 403306",Belagavi,Middle Class
VIC-2024-KA-0276,Utkarsh Buch,83,Other,"14/88, Narayan Circle, Chandigarh-416505",Bengaluru Urban,Lower Class
VIC-2024-KA-0277,Edhitha Parsa,83,Other,"35/794, Mallick Zila, Allahabad-779066",Belagavi,Middle Class
VIC-2024-KA-0278,Osha Sura,26,Female,"H.No. 04, Konda Nagar, Kakinada 829216",Hubballi-Dharwad,Upper Middle Class
VIC-2024-KA-0279,Ekaraj Kurian,47,Other,"H.No. 51, Chandra Marg, Machilipatnam-634265",Hassan,Lower Class
VIC-2024-KA-0280,Sai Chaudhuri,35,Female,"55/273, Goyal Zila, Bharatpur-473907",Bengaluru Rural,Middle Class
VIC-2024-KA-0281,Shivansh Sen,80,Female,"79, Magar Nagar, Hapur-497470",Vijayapura,Upper Middle Class
VIC-2024-KA-0282,George Sura,39,Female,"26/504, Dalal Circle, Sangli-Miraj & Kupwad-430540",Hubballi-Dharwad,Upper Middle Class
VIC-2024-KA-0283,Gunbir Guha,83,Male,"H.No. 02, Chad Street, Thoothukudi 221978",Bengaluru Rural,Upper Middle Class
VIC-2024-KA-0284,Omaja Issac,15,Male,"21, Bath Ganj, Medininagar 395121",Shivamogga,Middle Class
VIC-2024-KA-0285,Gaurika Sibal,81,Female,"66/050, Misra Path, Bharatpur-058266",Hassan,Lower Class
VIC-2024-KA-0286,Jackson Andra,40,Other,"94/707, Warrior Road, Junagadh-875278",Bengaluru Urban,Lower Class
VIC-2024-KA-0287,Ekapad Viswanathan,59,Female,"H.No. 071, Pandit Chowk, Nandyal-394338",Tumakuru,Middle Class
VIC-2024-KA-0288,Yatan Patla,80,Male,"H.No. 05, Toor Road, Guwahati 531835",Bengaluru Rural,Lower Class
VIC-2024-KA-0289,Max Lal,18,Male,"H.No. 112, Seth Zila, Bhubaneswar-405863",Mangaluru,Upper Middle Class
VIC-2024-KA-0290,Yuvraj Konda,44,Male,"38/950, Lalla Road, Ludhiana-082364",Tumakuru,Upper Middle Class
VIC-2024-KA-0291,Oviya Banik,29,Other,"H.No. 836, Contractor Zila, Indore 224679",Mysuru,Lower Class
VIC-2024-KA-0292,Ikbal Tata,17,Female,"007, Mishra Marg, Tinsukia 199251",Bengaluru Rural,Upper Middle Class
VIC-2024-KA-0293,Bishakha Kade,74,Other,"459, Nayar Ganj, Shivpuri 301453",Shivamogga,Middle Class
VIC-2024-KA-0294,Zilmil Chakraborty,42,Male,"H.No. 657, Gill Path, Rewa-931304",Mangaluru,Middle Class
VIC-2024-KA-0295,Nathan Amble,20,Male,"93/528, Bhagat Ganj, Nangloi Jat 380760",Davangere,Lower Class
VIC-2024-KA-0296,Libni Dani,55,Male,"H.No. 281, Kapoor Chowk, Bhatpara 307379",Bengaluru Rural,Upper Middle Class
VIC-2024-KA-0297,Ekavir Gopal,72,Other,"44/75, Sharaf Road, Mau 492686",Ballari,Upper Middle Class
VIC-2024-KA-0298,Udant Master,10,Male,"11/22, Nagarajan Zila, Bardhaman 832156",Bengaluru Rural,Lower Class
VIC-2024-KA-0299,Damyanti Kalla,11,Male,"94/35, Srinivas Path, Pondicherry 471061",Belagavi,Upper Middle Class
VIC-2024-KA-0300,Ayaan Gour,59,Female,"60/926, Dugar, Kharagpur 691599",Hassan,Upper Middle Class
VIC-2024-KA-0301,Yashodhara Dhillon,84,Female,"06/32, Nath Ganj, Tadipatri 755890",Chikkamagaluru,Middle Class
VIC-2024-KA-0302,Alexander Sur,41,Male,"35/09, Ramesh Circle, Faridabad-723410",Bengaluru Rural,Lower Class
VIC-2024-KA-0303,Krishna Tella,11,Female,"05/53, Brahmbhatt Road, Solapur 402039",Davangere,Lower Class
VIC-2024-KA-0304,Daksh Venkatesh,60,Male,"31/15, Borah Ganj, Sasaram 246850",Chikkamagaluru,Upper Middle Class
VIC-2024-KA-0305,Lavanya Thaker,14,Male,"15, Deshpande Chowk, Mehsana 312561",Davangere,Middle Class
VIC-2024-KA-0306,Krishna Venkatesh,82,Female,"93/799, Narain Ganj, Moradabad-942159",Chikkamagaluru,Upper Middle Class
VIC-2024-KA-0307,Yash Swamy,40,Female,"H.No. 881, Jha Nagar, Shimla-704876",Belagavi,Middle Class
VIC-2024-KA-0308,Saksham Comar,59,Female,"H.No. 258, Goswami Street, Guntakal 692900",Bengaluru Rural,Middle Class
VIC-2024-KA-0309,Janya Sur,79,Male,"52/174, Singh Chowk, Bhopal 369088",Mangaluru,Middle Class
VIC-2024-KA-0310,Rachit Arora,82,Other,"H.No. 63, Gola Chowk, Dhanbad-702787",Hassan,Upper Middle Class
VIC-2024-KA-0311,Tripti Bedi,56,Male,"074, Apte, Uluberia-183211",Mysuru,Middle Class
VIC-2024-KA-0312,Lucky Arya,33,Other,"94, Savant, Raiganj 723385",Bengaluru Urban,Upper Middle Class
VIC-2024-KA-0313,Leena Butala,46,Female,"75, Purohit Circle, Medininagar 462910",Shivamogga,Middle Class
VIC-2024-KA-0314,Sanya Saran,66,Male,"75/25, Kata Ganj, Nashik-679005",Tumakuru,Upper Middle Class
VIC-2024-KA-0315,Jairaj Talwar,5,Other,"71, Kurian Marg, Sagar-101996",Ballari,Upper Middle Class
VIC-2024-KA-0316,Rehaan Rana,28,Male,"70/40, Sabharwal Path, Ranchi-790465",Shivamogga,Lower Class
VIC-2024-KA-0317,Advay Bhatia,28,Female,"86/465, Narula Nagar, Hajipur-711663",Bengaluru Rural,Upper Middle Class
VIC-2024-KA-0318,Chanakya Roy,30,Other,"357, Setty Road, Berhampore-819755",Mangaluru,Lower Class
VIC-2024-KA-0319,Yauvani Bhatnagar,14,Female,"15/90, Venkatesh Road, Pune 245961",Chikkamagaluru,Middle Class
VIC-2024-KA-0320,Vrishti Choudhary,43,Female,"64/508, Mahal Street, Tiruppur 379465",Shivamogga,Upper Middle Class
VIC-2024-KA-0321,Ikbal Borra,55,Other,"347, Dhar Path, Barasat 590028",Shivamogga,Upper Middle Class
VIC-2024-KA-0322,Pooja Lad,22,Other,"924, Shan Nagar, Sri Ganganagar-283647",Mangaluru,Middle Class
VIC-2024-KA-0323,Bhavika Savant,47,Male,"H.No. 246, Dave Nagar, Bokaro-994483",Davangere,Upper Middle Class
VIC-2024-KA-0324,Samuel Sarna,44,Female,"H.No. 86, Gandhi Ganj, Chandrapur-218165",Davangere,Upper Middle Class
VIC-2024-KA-0325,Vanya Sankar,68,Other,"H.No. 48, Mall Nagar, Allahabad 424203",Vijayapura,Upper Middle Class
VIC-2024-KA-0326,Zaitra Kurian,78,Other,"65, Lad Street, Mathura 000478",Tumakuru,Middle Class
VIC-2024-KA-0327,Chakradhar Jayaraman,18,Female,"H.No. 685, Hegde Nagar, Imphal-672619",Shivamogga,Lower Class
VIC-2024-KA-0328,Oscar Sengupta,28,Other,"14/346, Saxena, Ahmednagar 916167",Mangaluru,Upper Middle Class
VIC-2024-KA-0329,Sai Chawla,62,Male,"47/520, Nath Ganj, Kalyan-Dombivli 438755",Chikkamagaluru,Lower Class
VIC-2024-KA-0330,Onkar Mittal,80,Female,"35/40, Karnik Path, Warangal 841550",Hassan,Upper Middle Class
VIC-2024-KA-0331,Zansi Raval,20,Male,"448, Kalita Zila, Thanjavur 170858",Mangaluru,Middle Class
VIC-2024-KA-0332,Yahvi Lad,8,Male,"334, Kapur Ganj, Jodhpur 646016",Mangaluru,Lower Class
VIC-2024-KA-0333,Rishi Banerjee,45,Male,"44, Chana Zila, Latur-078584",Chikkamagaluru,Middle Class
VIC-2024-KA-0334,Aadi Goel,66,Male,"H.No. 229, Saxena Road, Ongole-431878",Shivamogga,Middle Class
VIC-2024-KA-0335,Ronith Bhavsar,61,Female,"H.No. 828, Choudhary Zila, Bettiah-531112",Tumakuru,Middle Class
VIC-2024-KA-0336,Devansh Barman,72,Female,"18/57, Merchant Street, Gopalpur-867104",Shivamogga,Upper Middle Class
VIC-2024-KA-0337,Nathaniel Pillai,44,Female,"H.No. 79, Suresh Chowk, Ambala-926309",Kalaburagi,Lower Class
VIC-2024-KA-0338,Chasmum Divan,9,Female,"59/802, Samra Marg, Bareilly 573236",Tumakuru,Lower Class
VIC-2024-KA-0339,Faqid Ghose,23,Other,"575, Saran Chowk, Sonipat 968801",Chikkamagaluru,Upper Middle Class
VIC-2024-KA-0340,Advika Bhatnagar,64,Female,"H.No. 68, Talwar Marg, Howrah-596349",Bengaluru Rural,Upper Middle Class
VIC-2024-KA-0341,Waida Aggarwal,17,Female,"32, Mannan Chowk, Danapur 210054",Bengaluru Urban,Upper Middle Class
VIC-2024-KA-0342,Wishi Ganesh,10,Female,"H.No. 63, Varghese Nagar, Muzaffarnagar-100485",Kalaburagi,Middle Class
VIC-2024-KA-0343,Rishi More,66,Female,"513, Chatterjee Circle, Unnao 847050",Chikkamagaluru,Lower Class
VIC-2024-KA-0344,Qabil Murty,62,Male,"65/97, Ben Ganj, Noida-068861",Davangere,Middle Class
VIC-2024-KA-0345,Fariq Prasad,53,Female,"207, Jhaveri Ganj, Tiruvottiyur-927511",Shivamogga,Middle Class
VIC-2024-KA-0346,Ria Chhabra,46,Male,"H.No. 647, Kapur Zila, Proddatur-761227",Belagavi,Upper Middle Class
VIC-2024-KA-0347,Eesha Kumer,46,Male,"H.No. 23, Merchant, New Delhi 692581",Chikkamagaluru,Lower Class
VIC-2024-KA-0348,Vihaan Dani,71,Female,"H.No. 35, Rao Circle, Mangalore 521856",Hassan,Upper Middle Class
VIC-2024-KA-0349,Chatura Lall,72,Female,"658, Comar Chowk, Bijapur 709994",Hassan,Middle Class
VIC-2024-KA-0350,Vanya Sura,28,Female,"07/422, Varughese Ganj, Durgapur 495476",Kalaburagi,Lower Class
VIC-2024-KA-0351,Nirja Sibal,66,Other,"797, Gill Ganj, Durgapur-109012",Hassan,Upper Middle Class
VIC-2024-KA-0352,Chaitanya Bhasin,69,Male,"72/00, Kamdar Marg, Bathinda-561078",Bengaluru Urban,Lower Class
VIC-2024-KA-0353,Wakeeta Dani,19,Female,"758, Lad Ganj, Pondicherry-984956",Bengaluru Rural,Upper Middle Class
VIC-2024-KA-0354,Amruta Dube,53,Other,"07/63, Maharaj Ganj, Ranchi 074984",Hubballi-Dharwad,Lower Class
VIC-2024-KA-0355,Nitesh Vig,48,Other,"H.No. 64, Tata Nagar, Sikar 993746",Chikkamagaluru,Middle Class
VIC-2024-KA-0356,Aadhya Mittal,56,Male,"H.No. 152, Dass Zila, Thrissur 473105",Mysuru,Upper Middle Class
VIC-2024-KA-0357,Bahadurjit Salvi,19,Female,"29/23, Loyal Street, Sasaram 746942",Chikkamagaluru,Lower Class
VIC-2024-KA-0358,Triya Tank,84,Other,"H.No. 478, Garg Path, Belgaum 644343",Hubballi-Dharwad,Upper Middle Class
VIC-2024-KA-0359,Bhanumati Balan,60,Female,"206, Goel Zila, Nangloi Jat-395499",Bengaluru Urban,Middle Class
VIC-2024-KA-0360,Onkar Khurana,56,Male,"H.No. 67, Hans Zila, Bharatpur-805867",Belagavi,Upper Middle Class
VIC-2024-KA-0361,Gauri Kant,83,Other,"45/394, Korpal Chowk, Kolhapur 959491",Bengaluru Rural,Middle Class
VIC-2024-KA-0362,Falan Dhaliwal,74,Other,"H.No. 47, Venkataraman Street, Munger 784979",Mangaluru,Lower Class
VIC-2024-KA-0363,Lekha Bava,40,Male,"121, Varughese Road, Anantapur-689565",Davangere,Middle Class
VIC-2024-KA-0364,Siddharth Dayal,46,Female,"710, Dara Marg, Raurkela Industrial Township 900061",Chikkamagaluru,Lower Class
VIC-2024-KA-0365,Caleb Gera,49,Male,"22, Deo Road, Ajmer 891405",Ballari,Upper Middle Class
VIC-2024-KA-0366,Lavanya Chacko,76,Male,"H.No. 39, Lala Circle, Kolkata-095194",Mysuru,Middle Class
VIC-2024-KA-0367,Ayaan Viswanathan,58,Male,"28/692, Savant, Meerut-616883",Shivamogga,Upper Middle Class
VIC-2024-KA-0368,Kala Chander,16,Male,"386, Sur Ganj, Shimla-579619",Shivamogga,Upper Middle Class
VIC-2024-KA-0369,Edhitha Sen,64,Female,"988, Minhas Path, Bikaner 089365",Belagavi,Lower Class
VIC-2024-KA-0370,Yatan Baria,77,Female,"H.No. 424, Sibal Marg, Kumbakonam 530155",Shivamogga,Middle Class
VIC-2024-KA-0371,Dev Bhakta,45,Male,"H.No. 41, Morar Nagar, Ahmedabad 548830",Hassan,Upper Middle Class
VIC-2024-KA-0372,Leela Patla,76,Male,"H.No. 35, Gola Zila, Nadiad-029750",Vijayapura,Middle Class
VIC-2024-KA-0373,Ishita Deo,20,Female,"81/088, Gill Ganj, Rewa 060044",Belagavi,Middle Class
VIC-2024-KA-0374,Chavvi Soni,81,Male,"95/883, Borra Marg, Malegaon-744397",Belagavi,Upper Middle Class
VIC-2024-KA-0375,Abeer Shenoy,6,Male,"86, Shetty Path, Bilaspur-570201",Chikkamagaluru,Lower Class
VIC-2024-KA-0376,Raghav Purohit,54,Female,"H.No. 321, Mishra Circle, Avadi-936862",Belagavi,Upper Middle Class
VIC-2024-KA-0377,Baghyawati Ravi,12,Male,"24/45, Gole Road, Bellary 690377",Mysuru,Middle Class
VIC-2024-KA-0378,Ekavir Sachdev,85,Male,"76/32, Ghosh, Ajmer-997903",Shivamogga,Lower Class
VIC-2024-KA-0379,Jeremiah Swaminathan,15,Male,"87, Jain Zila, Naihati 140264",Bengaluru Rural,Upper Middle Class
VIC-2024-KA-0380,Yashvi Bobal,57,Female,"H.No. 30, Narain Marg, Kadapa 868674",Shivamogga,Middle Class
VIC-2024-KA-0381,Lila Nair,79,Male,"H.No. 19, Kapur Road, Anantapur-521800",Shivamogga,Middle Class
VIC-2024-KA-0382,Ranveer Rao,34,Male,"53/12, Rout Path, Parbhani-146296",Bengaluru Urban,Lower Class
VIC-2024-KA-0383,Gavin Chandra,14,Male,"36, Joshi Nagar, Mira-Bhayandar-391642",Chikkamagaluru,Lower Class
VIC-2024-KA-0384,Hemani Padmanabhan,65,Male,"060, Sami Marg, Kota 713655",Mysuru,Middle Class
VIC-2024-KA-0385,Om Dar,27,Female,"66, Dua Chowk, Bhagalpur-105639",Belagavi,Upper Middle Class
VIC-2024-KA-0386,Waida Varkey,64,Other,"325, Karan Road, Dhule 865097",Kalaburagi,Lower Class
VIC-2024-KA-0387,Brijesh Morar,38,Female,"H.No. 678, Raj Marg, Thrissur-804294",Tumakuru,Lower Class
VIC-2024-KA-0388,Jeremiah Yohannan,27,Female,"25/22, Natt Marg, New Delhi-958670",Chikkamagaluru,Lower Class
VIC-2024-KA-0389,Sathvik Venkatesh,59,Female,"017, Agarwal Road, Bhiwandi-973268",Mangaluru,Lower Class
VIC-2024-KA-0390,Fariq Tandon,24,Male,"012, Magar Circle, Mumbai 839966",Tumakuru,Lower Class
VIC-2024-KA-0391,Max Mutti,80,Female,"37/971, Balan Ganj, Ozhukarai-803676",Mangaluru,Lower Class
VIC-2024-KA-0392,Ryan Kale,65,Male,"25, Pal Marg, Shivpuri 398797",Davangere,Upper Middle Class
VIC-2024-KA-0393,Chakradev Tandon,9,Other,"60, Toor Marg, Bareilly-770509",Hassan,Lower Class
VIC-2024-KA-0394,Anirudh De,7,Female,"79, Sane, Bhalswa Jahangir Pur-071923",Mangaluru,Upper Middle Class
VIC-2024-KA-0395,Robert Nayar,51,Female,"067, Bera Street, Bhalswa Jahangir Pur 234661",Chikkamagaluru,Middle Class
VIC-2024-KA-0396,Ojas Pall,15,Other,"H.No. 730, Agarwal Nagar, Saharsa-557124",Chikkamagaluru,Middle Class
VIC-2024-KA-0397,Tejas Rama,61,Other,"021, Dayal Circle, Bhiwandi 947774",Tumakuru,Lower Class
VIC-2024-KA-0398,Kiaan Sagar,17,Male,"943, Bedi Marg, Parbhani 785122",Mysuru,Lower Class
VIC-2024-KA-0399,Ekapad Goyal,24,Female,"89/90, Desai Path, Ozhukarai 628623",Shivamogga,Middle Class
VIC-2024-KA-0400,Raghav Sastry,60,Other,"17, Kamdar Zila, Kakinada-691003",Mysuru,Upper Middle Class
VIC-2024-KA-0401,Baljiwan Sodhi,71,Male,"145, Bhatnagar Chowk, Morena-351815",Hassan,Lower Class
VIC-2024-KA-0402,Brijesh D’Alia,64,Female,"H.No. 515, Dua Street, Parbhani 094089",Bengaluru Rural,Upper Middle Class
VIC-2024-KA-0403,Janani Ray,33,Female,"184, Walia Marg, Srikakulam 138865",Kalaburagi,Middle Class
VIC-2024-KA-0404,Radha Warrior,48,Male,"853, Mahajan Chowk, Dharmavaram-364651",Hassan,Lower Class
VIC-2024-KA-0405,Kamala Majumdar,56,Female,"45/096, Sankaran Ganj, Danapur 520617",Tumakuru,Middle Class
VIC-2024-KA-0406,Zilmil Anand,34,Other,"43, Ahluwalia Ganj, Orai-965406",Vijayapura,Lower Class
VIC-2024-KA-0407,Vyanjana Suri,64,Male,"H.No. 851, Lanka Marg, Erode-176561",Hubballi-Dharwad,Middle Class
VIC-2024-KA-0408,Lakshmi Nagy,58,Male,"H.No. 562, Shetty, Sagar 305751",Mysuru,Lower Class
VIC-2024-KA-0409,Lekha Reddy,75,Female,"H.No. 44, Roy Chowk, Dehradun-523004",Mangaluru,Upper Middle Class
VIC-2024-KA-0410,Siddharth Mutti,23,Other,"H.No. 535, Patil Marg, Sirsa 202010",Kalaburagi,Upper Middle Class
VIC-2024-KA-0411,Ekansh Grover,37,Male,"10/638, Dhillon Marg, Avadi 788787",Ballari,Upper Middle Class
VIC-2024-KA-0412,Aryan Magar,82,Other,"H.No. 717, Om Road, Giridih-879581",Tumakuru,Lower Class
VIC-2024-KA-0413,Urvi Khare,66,Female,"13/75, Golla Zila, Jammu 206228",Bengaluru Rural,Upper Middle Class
VIC-2024-KA-0414,Balveer Aurora,33,Other,"55, Lal Path, Rourkela-583765",Ballari,Middle Class
VIC-2024-KA-0415,Vedika Thaker,66,Female,"H.No. 018, Chauhan Street, Ramagundam-922261",Belagavi,Middle Class
VIC-2024-KA-0416,Max Nadig,82,Female,"H.No. 01, Randhawa Road, Gurgaon 055611",Ballari,Lower Class
VIC-2024-KA-0417,Oscar Banik,41,Other,"209, Kala Marg, Bhiwandi-764688",Hubballi-Dharwad,Upper Middle Class
VIC-2024-KA-0418,Gautam Konda,36,Female,"58/83, Dyal, Bhalswa Jahangir Pur 956965",Bengaluru Urban,Upper Middle Class
VIC-2024-KA-0419,Chanakya Bajaj,70,Male,"H.No. 214, Sha Path, Danapur-804473",Bengaluru Rural,Lower Class
VIC-2024-KA-0420,Bhavya Bhattacharyya,49,Female,"70/678, Savant Chowk, Gurgaon-895516",Chikkamagaluru,Upper Middle Class
VIC-2024-KA-0421,Peter Boase,47,Other,"H.No. 59, Kara Road, Kadapa 306990",Mysuru,Lower Class
VIC-2024-KA-0422,Meghana Wason,12,Male,"H.No. 11, Dar Nagar, Mahbubnagar-069027",Vijayapura,Upper Middle Class
VIC-2024-KA-0423,Nihal Chandra,83,Male,"687, Dhaliwal Chowk, Bikaner 107073",Kalaburagi,Middle Class
VIC-2024-KA-0424,Nisha Hari,15,Female,"82/952, Rajagopalan Nagar, Ranchi 389010",Shivamogga,Middle Class
VIC-2024-KA-0425,Chaman Sengupta,30,Male,"32/61, Bakshi, Amaravati 004237",Hubballi-Dharwad,Upper Middle Class
VIC-2024-KA-0426,Ria Gandhi,37,Female,"34/42, Lata Path, Mumbai 738452",Bengaluru Rural,Lower Class
VIC-2024-KA-0427,Janya Palla,62,Female,"174, Muni Ganj, Karawal Nagar-975943",Mangaluru,Upper Middle Class
VIC-2024-KA-0428,Guneet Mammen,71,Other,"H.No. 53, Gopal Ganj, Nagaon 632223",Shivamogga,Upper Middle Class
VIC-2024-KA-0429,Dalaja Kunda,59,Female,"89/39, Brahmbhatt Zila, Erode-009948",Hubballi-Dharwad,Lower Class
VIC-2024-KA-0430,Vincent Sankar,61,Female,"12/59, Raj Marg, Barasat-258436",Shivamogga,Upper Middle Class
VIC-2024-KA-0431,Ijaya Sant,21,Male,"84/13, Chowdhury Circle, Gandhinagar-435058",Bengaluru Rural,Upper Middle Class
VIC-2024-KA-0432,Omisha Amble,83,Female,"76/639, Pall Circle, Dehri 268066",Mysuru,Middle Class
VIC-2024-KA-0433,Triveni Peri,34,Male,"H.No. 86, Raja Chowk, Eluru 243893",Chikkamagaluru,Middle Class
VIC-2024-KA-0434,Warjas Jha,52,Other,"48/46, Murthy Ganj, Gandhinagar-687906",Tumakuru,Upper Middle Class
VIC-2024-KA-0435,Eshana Dhillon,83,Female,"H.No. 573, Rastogi Zila, Ranchi 992146",Hassan,Middle Class
